"JobID","WorkerID","SubmittedTime","CompletionTime","DurationMS"
"job-1765687327299270300","worker-A","10:12:07","10:12:10","180"
"job-1765687327722573500","worker-A","10:12:07","10:12:11","90"
"job-1765687327050726800","worker-A","10:12:07","10:12:10","136"
"job-1765687327928809200","worker-A","10:12:07","10:12:10","188"
"job-1765687327515364300","worker-A","10:12:07","10:12:10","187"
"job-1765687328551356200","worker-A","10:12:08","10:12:11","82"
"job-1765687328769229200","worker-A","10:12:08","10:12:10","185"
"job-1765687328135771200","worker-A","10:12:08","10:12:11","94"
"job-1765687328350299300","worker-A","10:12:08","10:12:13","2141"
"job-1765687328986011900","worker-A","10:12:08","10:12:11","99"
"job-1765687329451834200","worker-A","10:12:09","10:12:10","184"
"job-1765687329667708200","worker-A","10:12:09","10:12:10","183"
"job-1765687329885897400","worker-A","10:12:09","10:12:12","2271"
"job-1765687329230782600","worker-A","10:12:09","10:12:10","139"
"job-1765687330952978200","worker-A","10:12:10","10:12:11","100"
"job-1765687330733553600","worker-A","10:12:10","10:12:11","80"
"job-1765687330523437000","worker-A","10:12:10","10:12:10","158"
"job-1765687330312728900","worker-A","10:12:10","10:12:10","185"
"job-1765687330098082700","worker-A","10:12:10","10:12:13","47"
"job-1765687331162918100","worker-A","10:12:11","10:12:14","115"
"job-1765687342959695300","worker-C","10:12:22","10:12:23","32"
"job-1765687342633817600","worker-C","10:12:22","10:12:24","36"
"job-1765687343929842200","worker-A","10:12:23","10:12:25","48"
"job-1765687343601570400","worker-C","10:12:23","10:12:23","95"
"job-1765687343275387400","worker-D","10:12:23","10:12:26","30"
"job-1765687344244399600","worker-C","10:12:24","10:12:24","40"
"job-1765687344877404700","worker-C","10:12:24","10:12:25","49"
"job-1765687344561525400","worker-C","10:12:24","10:12:25","47"
"job-1765687345515691600","worker-C","10:12:25","10:12:25","49"
"job-1765687345199741600","worker-A","10:12:25","10:12:25","54"
"job-1765687356917317000","worker-C","10:12:36","10:12:37","37"
"job-1765687357346772300","worker-C","10:12:37","10:12:37","37"
"job-1765687357563642000","worker-C","10:12:37","10:12:37","37"
"job-1765687357129768500","worker-C","10:12:37","10:12:37","37"
"job-1765687357779705300","worker-C","10:12:37","10:12:38","54"
"job-1765687357987126000","worker-C","10:12:37","10:12:38","45"
"job-1765687358191441700","worker-C","10:12:38","10:12:38","45"
"job-1765687358405241400","worker-C","10:12:38","10:12:38","48"
"job-1765687358613333000","worker-C","10:12:38","10:12:38","48"
"job-1765687358823151900","worker-B-recovered","10:12:38","10:12:39","47"
"job-1765687359029555100","worker-B-recovered","10:12:39","10:12:39","46"
"job-1765687359910006400","worker-B-recovered","10:12:39","10:12:40","40"
"job-1765687359658531500","worker-B-recovered","10:12:39","10:12:40","44"
"job-1765687359239860100","worker-B-recovered","10:12:39","10:12:39","36"
"job-1765687359443508000","worker-B-recovered","10:12:39","10:12:39","41"
